codUsuario,numPartida,puntajeA,puntajeB,fechaPartida
001,1,40,41,13-10-2024
001,2,10,5,03-10-2024
002,3,6,16,30-09-2024
003,4,2,0,30-09-2024
003,5,33,47,01-10-2024
001,6,26,18,13-10-2024
001,7,30,15,13-10-2024
001,8,11,17,13-10-2024
001,9,42,28,13-10-2024
001,10,13,14,13-10-2024
001,11,10,6,13-10-2024
001,12,20,10,13-10-2024
001,13,16,8,13-10-2024
001,14,13,14,13-10-2024
001,15,14,0,13-10-2024
001,16,11,22,16-10-2024
001,17,18,10,16-10-2024
001,18,24,21,17-10-2024
